"Latitude","Longitude","CropType","SampleYear","SowingPeriod","HarvestingPeriod","Others"
"28.149719","77.777076","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.150003","77.777554","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.149295","77.777393","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.149655","77.777902","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.148755","77.780996","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.149976","77.781709","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.149277","77.782047","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.15249","77.780949","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.152112","77.781207","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.150606","77.782306","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.150276","77.782634","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.151195","77.783284","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.150926","77.783461","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.152262","77.782866","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.151719","77.782963","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.151933","77.783419","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.151409","77.783762","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.152393","77.783724","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.152162","77.783859","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.1526","77.78506","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.149481","77.783983","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.149619","77.784487","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.14926","77.784648","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.148849","77.784648","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.148377","77.785313","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.148023","77.785619","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.147788","77.785946","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.148748","77.785689","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.14829","77.786246","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.148476","77.786504","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.147422","77.787931","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.149574","77.785705","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.149821","77.786048","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.148989","77.786128","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.149275","77.786649","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.14927","77.788027","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.149569","77.788306","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.148945","77.788253","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.149391","77.788768","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.149161","77.790211","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.149512","77.789846","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.149892","77.790238","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.137867","77.763927","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.137378","77.765348","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.138303","77.764614","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.13854","77.765027","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.140613","77.767673","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.139107","77.768531","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.138501","77.768827","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.137799","77.768865","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.137507","77.76842","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.140294","77.768221","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.140546","77.768468","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.14289","77.765622","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.14317","77.76596","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.142631","77.766513","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.144035","77.76622","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.144367","77.766761","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.142357","77.768548","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.144895","77.767337","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.142603","77.769358","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.143039","77.769612","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.142619","77.76994","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.143979","77.770863","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.143715","77.771099","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.144725","77.770875","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.144499","77.771352","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.144183","77.771626","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.145988","77.770087","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.145639","77.770382","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.146278","77.770532","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.145161","77.771584","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.144599","77.772041","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.144571","77.772599","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.144024","77.772497","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.143868","77.773146","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.14324","77.77313","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.143279","77.773651","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.146205","77.771394","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.145071","77.775786","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.144916","77.775968","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.144699","77.776901","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.146973","77.775554","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.146671","77.775881","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.146052","77.775763","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.145694","77.776187","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.145349","77.776798","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.14588","77.776487","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.146425","77.776321","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.146104","77.776793","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.148032","77.778391","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.147622","77.780141","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.147609","77.781037","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.150572","77.790389","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.149944","77.790915","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.148983","77.791352","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.148754","77.791628","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.150995","77.790757","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.151117","77.791777","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.15049","77.791975","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.150306","77.792147","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.14933","77.792908","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.148664","77.792853","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.150937","77.792401","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.150594","77.79269","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.148997","77.794046","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.149439","77.794556","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.149158","77.794856","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.150906","77.794346","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.151133","77.794676","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.150215","77.794501","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.152018","77.795056","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.150723","77.796094","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.150901","77.796368","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.149825","77.797197","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.150135","77.797417","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.150423","77.797955","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.150596","77.798226","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.150007","77.798281","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.149624","77.798295","Wheat","2017","15/10/2017","15/04/2018","NA"
"28.149282","77.778283","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.148985","77.778514","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.148559","77.778852","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.148267","77.779088","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.148954","77.77956","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.148699","77.779791","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.148439","77.780472","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.148146","77.78067","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.149738","77.778947","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.149417","77.779209","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.15008","77.778705","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.150147","77.779703","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.14986","77.779939","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.149449","77.780454","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.149062","77.780486","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.14834","77.782031","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.148998","77.781505","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.149482","77.781366","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.149752","77.781119","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.150458","77.78135","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.148734","77.782492","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.149127","77.782868","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.149545","77.782525","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.150137","77.782095","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.150663","77.781682","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.151127","77.781344","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.151626","77.781598","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.15114","77.781952","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.151854","77.782184","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.151448","77.782436","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.147595","77.786279","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.147402","77.786606","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.147256","77.78704","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.149366","77.785276","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.149098","77.785415","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.147895","77.786788","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.148061","77.787019","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.147865","77.787985","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.147375","77.788489","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.149113","77.78644","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.149456","77.786949","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.148279","77.787303","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.148464","77.78747","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.147233","77.789658","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.147159","77.790077","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.147909","77.790055","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.147726","77.790442","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.147637","77.79079","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.147349","77.791101","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.147028","77.791375","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.147498","77.791761","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.148034","77.7913","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.148229","77.791032","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.148305","77.790404","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.14859","77.790774","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.148567","77.79013","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.148875","77.79049","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.14889","77.789819","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.149248","77.789444","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.149566","77.790549","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.137695","77.765692","Sugarcane","2017","01/04/2017","31/03/2018","NA"
"28.137824","77.766078","Sugarcane","2017","01/04/2017","31/03/2018","NA"
