"VH_2017-05-15","VH_2017-05-27","VH_2017-06-08","VH_2017-07-02","VH_2017-07-14","VH_2017-07-26","VH_2017-08-07","VH_2017-08-19","VH_2017-08-31","VH_2017-09-12","VH_2017-09-24","VH_2017-10-06","VH_2017-10-18"
0.016101252,0.014852673,0.034478061,0.02855273,0.051144622,0.054405365,0.043033086,0.047715832,0.075556397,0.063782401,0.053166244,0.048076194,0.048571974
0.012042752,0.029615752,0.028543215,0.029121608,0.025728336,0.062935933,0.05148552,0.039663371,0.0345621,0.053572811,0.052563626,0.045332965,0.043326236
0.00746058,0.017636649,0.01108833,0.017868476,0.017811343,0.029471289,0.039872617,0.040593553,0.046502665,0.053761546,0.05579095,0.041381709,0.036447685
0.026860924,0.030591656,0.036834747,0.04891419,0.031315174,0.046037409,0.05585362,0.032586057,0.049839869,0.056232788,0.048539825,0.05235932,0.057326775
0.012556013,0.012968209,0.02344308,0.040999573,0.030082166,0.029812399,0.044893008,0.022950141,0.043554273,0.039481778,0.049294114,0.02614112,0.028206725
0.039587799,0.050834104,0.028087305,0.034249466,0.046373755,0.034018584,0.04482203,0.036577314,0.043763805,0.04677305,0.05849573,0.044229414,0.042503882
0.023163278,0.052766167,0.052767709,0.037664942,0.028091397,0.051727124,0.063886769,0.033924375,0.036097143,0.054867938,0.085278802,0.040907525,0.053315476
0.031419884,0.039907955,0.045111571,0.05350861,0.046288893,0.04518044,0.045623388,0.04880828,0.039027862,0.046909567,0.05912381,0.037081994,0.032894224
0.031399116,0.0357683,0.034696933,0.046097718,0.045655802,0.060890678,0.043787975,0.047929082,0.047018353,0.053997759,0.067208119,0.050421961,0.043499667
0.029409807,0.026947213,0.024905926,0.026382187,0.031979345,0.046774749,0.039554808,0.027892033,0.044059005,0.045467239,0.065252744,0.042104609,0.025475083
0.036371596,0.031231616,0.039992176,0.034241311,0.048032939,0.049208809,0.055101998,0.060629498,0.042779621,0.06946329,0.0507553,0.059809402,0.051568743
0.0382443,0.032891437,0.042661607,0.042464826,0.048848797,0.039881524,0.050979447,0.035085112,0.059202094,0.062605679,0.054719131,0.041048881,0.067784496
0.038707688,0.049798723,0.041190077,0.038019314,0.040738896,0.049624667,0.052633584,0.042626273,0.042723879,0.057859551,0.074797504,0.036608003,0.052004613
0.010703448,0.021914959,0.025503295,0.039243355,0.039412465,0.044478469,0.055757664,0.071200244,0.054843564,0.053929266,0.043537848,0.035673596,0.045485217
0.027074335,0.029623648,0.053401742,0.048947174,0.039686639,0.055149194,0.047936831,0.033942398,0.052666914,0.052650589,0.063019104,0.043673139,0.036686301
