"VV_2017-05-15","VV_2017-05-27","VV_2017-06-08","VV_2017-07-02","VV_2017-07-14","VV_2017-07-26","VV_2017-08-07","VV_2017-08-19","VV_2017-08-31","VV_2017-09-12","VV_2017-09-24","VV_2017-10-06","VV_2017-10-18"
0.071524538,0.088606037,0.148548499,0.157933176,0.174688533,0.274549782,0.184390247,0.184464112,0.260762751,0.174210876,0.263672531,0.120507941,0.162842736
0.078668155,0.107462563,0.137100741,0.128553465,0.199980184,0.272652984,0.18621102,0.156254917,0.18680279,0.243475869,0.155156523,0.187112689,0.17033647
0.042443659,0.086642012,0.087695271,0.094575502,0.080621377,0.166936278,0.174445733,0.165242389,0.220699653,0.145067915,0.191584975,0.09652061,0.129818261
0.08123412,0.1151684,0.138506651,0.132238626,0.146637768,0.194092512,0.173998967,0.115337394,0.201256156,0.240395784,0.173168331,0.175103918,0.134985566
0.055819806,0.080779314,0.143658295,0.166862696,0.111856222,0.174644932,0.184908703,0.096853189,0.142399594,0.167687938,0.151565269,0.093948245,0.101476319
0.193669125,0.159873322,0.152434051,0.145759106,0.133332863,0.253566295,0.217253596,0.163882151,0.330963463,0.198968709,0.181139007,0.165010378,0.169749439
0.075798668,0.246442646,0.182567388,0.167689741,0.139970541,0.238942698,0.211682841,0.157282442,0.169634581,0.19040522,0.213761225,0.176136836,0.113097683
0.094668612,0.201783136,0.181391314,0.186255947,0.165872782,0.158634856,0.162763983,0.22295849,0.20996061,0.170725077,0.184319258,0.128453329,0.169374958
0.096180491,0.157286525,0.150029257,0.206083626,0.169798642,0.270085156,0.221627608,0.19612667,0.22521551,0.238086984,0.252252758,0.15758872,0.209542766
0.081709392,0.185306266,0.129256502,0.096487053,0.122264579,0.210002229,0.141162947,0.159106985,0.150524899,0.160289824,0.184036076,0.116038673,0.132412359
0.136769444,0.110161535,0.165351614,0.179805905,0.177833065,0.326554716,0.186992377,0.216626123,0.397020966,0.215959802,0.188478082,0.164835751,0.245971471
0.103689477,0.139891163,0.180853844,0.195532307,0.135582134,0.176343814,0.220483378,0.14111644,0.203135967,0.214348555,0.225234538,0.18132861,0.206704751
0.104650244,0.145655155,0.194196776,0.222150952,0.154169127,0.252555609,0.171085536,0.187664464,0.225255013,0.198649317,0.237706468,0.166185856,0.162510857
0.069573902,0.105060197,0.132024482,0.165707856,0.133311033,0.130798981,0.168488413,0.181915402,0.226181313,0.130681962,0.105372019,0.152889147,0.096143059
0.113031603,0.120655455,0.184585169,0.138207465,0.172948599,0.211871088,0.176638007,0.213096991,0.202592179,0.150603354,0.220732346,0.12578766,0.157644346
0.137325883,0.10686738,0.154738992,0.12034563,0.196644574,0.205483854,0.210998207,0.191891432,0.266307265,0.158182383,0.165609181,0.135004923,0.190166578
