"Latitude","Longitude","CType","SampleYear","SowingPeriod","HarvestingPeriod","Others","Index"
28.149801,77.792516,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.15394,77.785681,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.146277,77.788718,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.152861,77.785574,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.153192,77.787055,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.143115,77.76961,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.151338,77.788943,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.14216,77.766933,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.14675,77.777866,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.153301,77.784212,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.152937,77.775189,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.149976,77.797295,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.146448,77.777442,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.146616,77.772818,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.149891,77.782908,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.14684,77.789351,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.15228,77.79692,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.15061,77.792693,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.154015,77.772893,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.151381,77.797199,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.152634,77.774733,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.14859,77.790788,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.152081,77.793283,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.150984,77.7931,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.152956,77.787999,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.150686,77.797049,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.151419,77.794184,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.140651,77.767638,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.15254,77.785918,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.152322,77.793798,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.14588,77.77779,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.150317,77.791936,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.151901,77.794104,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.141968,77.770725,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.150719,77.781685,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.146273,77.789243,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.151722,77.781503,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.151669,77.788503,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.152237,77.778783,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.153391,77.7889,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.151565,77.773279,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.146389,77.773901,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.151476,77.795187,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.147091,77.78699,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.149385,77.791078,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.148396,77.787441,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.148368,77.785274,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.153192,77.785199,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.151107,77.795622,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.145166,77.770562,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.152445,77.794678,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.151154,77.79685,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.144215,77.769304,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.143198,77.771342,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.152757,77.775983,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.149546,77.781417,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.142337,77.768507,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.146566,77.790992,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.147361,77.777485,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.151324,77.79604,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.152672,77.786443,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.147994,77.786878,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.151778,77.78574,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.152034,77.79501,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.147786,77.78595,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.148704,77.781073,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.153155,77.788557,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.145785,77.770996,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.149574,77.790526,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
